Label,# Samples,Average,Median,90% Line,Min,Max,Error %,Throughput,KB/sec
HTTPedit,5652,443,444,699,39,3090,0.0,2.250457796152004,27.345693801441097
HTTP1,16417,437,428,610,84,3598,0.0,6.535851436278932,394.8305273929389
HTTP2,16416,480,470,648,111,3803,0.0,6.5389625132942175,423.90740172984164
HTTP3,16413,611,602,800,202,3565,0.0,6.541180784160563,728.4333065701495
HTTPadd1,223,42905,42717,66553,14868,71053,0.0,0.0875461138358585,1.061907232697767
HTTPadd2,219,13990,14054,15294,11505,17907,0.0,0.0874160067889107,1.0592197729718489
змЬх,55340,727,492,722,39,71053,0.0,21.72556923621708,1553.7562003805165
