Label,# Samples,Average,Median,90% Line,Min,Max,Error %,Throughput,KB/sec
HTTP1,11285,601,593,790,117,2214,0.0,5.026517832446139,303.6515653945071
HTTPadd1,6804,779,776,1066,22,2777,0.00205761316872428,3.0299332826860064,36.69409129611141
HTTPedit,3084,727,729,1033,35,2307,0.0,1.3736912294892845,16.691892027908338
HTTP2,11283,633,621,823,175,2112,0.0,5.027129479215584,325.8982191461766
HTTP3,11279,754,744,964,213,2395,0.0,5.027614212292893,559.8821655530811
HTTPadd2,6799,782,778,1077,50,2610,0.001764965436093543,3.031359568556254,36.68115556051506
змЬх,50534,698,681,958,22,2777,5.145050856848855E-4,22.503622649508326,1278.6684530038322
